source,source_id,school_name,normalised_school_name,school_code,suburb,country,state,postcode,type,sector,latitude,longitude,is_sehs,selectivity_type,entry_year_levels,test_provider,test_name,offers_medicine,offers_dentistry
ACARA,45361,Brentwood Secondary College,Brentwood Secondary College,Brentwood,Glen Waverley,Australia,VIC,3150,Secondary,Public,-37.8995,145.166,FALSE,,,,,FALSE,FALSE
ACARA,42949,Brewarrina Central School,Brewarrina Central School,,Brewarrina,Australia,NSW,2839,Combined,Public,-29.9637,146.859,FALSE,,,,,FALSE,FALSE
ACARA,53161,Brewarrina Christian School,Brewarrina Christian School,,Gongolgon,Australia,NSW,2839,Combined,Private,-30.38106698,146.9065808,FALSE,,,,,FALSE,FALSE
ACARA,40746,Brewongle Environmental Education Centre,Brewongle Environmental Education Centre,,Sackville North,Australia,NSW,2756,Combined,Public,-33.4817,150.892,FALSE,,,,,FALSE,FALSE
ACARA,44205,Briagolong Primary School,Briagolong Primary School,,Briagolong,Australia,VIC,3860,Primary,Public,-37.8428,147.068,FALSE,,,,,FALSE,FALSE
ACARA,44745,Briar Hill Primary School,Briar Hill Primary School,,Briar Hill,Australia,VIC,3088,Primary,Public,-37.7083,145.116,FALSE,,,,,FALSE,FALSE
ACARA,41484,Briar Road Public School,Briar Road Public School,,Campbelltown,Australia,NSW,2560,Primary,Public,-34.0891,150.828,FALSE,,,,,FALSE,FALSE
ACARA,42551,Bribbaree Public School,Bribbaree Public School,,Bribbaree,Australia,NSW,2594,Primary,Public,-34.1204,147.875,FALSE,,,,,FALSE,FALSE
ACARA,47558,Bribie Island State High School,Bribie Island State High School,,Bongaree,Australia,QLD,4507,Secondary,Public,-27.083,153.166,FALSE,,,,,FALSE,FALSE
ACARA,46774,Bribie Island State School,Bribie Island State School,,Bongaree,Australia,QLD,4507,Primary,Public,-27.0832,153.162,FALSE,,,,,FALSE,FALSE
ACARA,40648,Bridge Road School,Bridge Road School,,Camperdown,Australia,NSW,2050,Special,Public,-33.8874,151.175,FALSE,,,,,FALSE,FALSE
ACARA,48121,Bridgetown High School,Bridgetown High School,,Bridgetown,Australia,WA,6255,Secondary,Public,-33.9608,116.141,FALSE,,,,,FALSE,FALSE
ACARA,48305,Bridgetown Primary School,Bridgetown Primary School,,Bridgetown,Australia,WA,6255,Primary,Public,-33.9554,116.14,FALSE,,,,,FALSE,FALSE
ACARA,49379,Bridgewater Primary School,Bridgewater Primary School (Bridgewater),,Bridgewater,Australia,SA,5155,Primary,Public,-35.005,138.762,FALSE,,,,,FALSE,FALSE
ACARA,44197,Bridgewater Primary School,Bridgewater Primary School (Bridgewater On Loddon),,Bridgewater On Loddon,Australia,VIC,3516,Primary,Public,-36.6031,143.946,FALSE,,,,,FALSE,FALSE
ACARA,52577,Bridgewood Primary School,Bridgewood Primary School,,Officer,Australia,VIC,3809,Primary,Public,-38.0733,145.426,FALSE,,,,,FALSE,FALSE
ACARA,40167,Bridport Primary School,Bridport Primary School,,Bridport,Australia,TAS,7262,Primary,Public,-41.0016,147.389,FALSE,,,,,FALSE,FALSE
ACARA,47032,Brigalow State School,Brigalow State School,,Brigalow,Australia,QLD,4412,Primary,Public,-26.8365,150.779,FALSE,,,,,FALSE,FALSE
ACARA,44140,Bright P-12 College,Bright P-12 College,,Bright,Australia,VIC,3741,Combined,Public,-36.7331,146.961,FALSE,,,,,FALSE,FALSE
ACARA,52234,Bright P-12 College-Dinner Plain Campus,Bright P-12 College-Dinner Plain Campus,,Dinner Plain,Australia,VIC,3898,Combined,Public,-37.0235,147.238,FALSE,,,,,FALSE,FALSE
ACARA,44403,Brighton Beach Primary School,Brighton Beach Primary School,,Brighton,Australia,VIC,3186,Primary,Public,-37.9219,144.996,FALSE,,,,,FALSE,FALSE
ACARA,46200,Brighton Grammar School,Brighton Grammar School,,Brighton,Australia,VIC,3186,Combined,Private,-37.9111,144.994,FALSE,,,,,FALSE,FALSE
ACARA,53402,Brighton High School,Brighton High School,,Brighton,Australia,TAS,7030,Secondary,Public,-42.70417212,147.2466876,FALSE,,,,,FALSE,FALSE
ACARA,49380,Brighton Primary School,"Brighton Primary School (Brighton, SA)",,Brighton,Australia,SA,5048,Primary,Public,-35.016,138.526,FALSE,,,,,FALSE,FALSE
